CONSTANT_MODS
HexNAc2Hex2FucNeuAc2 (ST)
HexNAc2Hex2FucNeuAc2NeuAc (ST)
HexNAc2Hex2FucNeuAc2NeuAcAc (ST)
HexNAc2Hex2FucNeuAc2NeuAcAc2 (ST)
HexNAc2Hex2Fuc2 (ST)
HexNAc2Hex2Fuc2NeuAc (ST)
HexNAc2Hex2Fuc3 (ST)
HexNAc2Hex2NeuAc (ST)
HexNAc2Hex2NeuAcAc (ST)
HexNAc2Hex2NeuAcAc2 (ST)
HexNAc2Hex2NeuAcAc3 (ST)
HexNAc2Hex2NeuAcAc4 (ST)
HexNAc2Hex2NeuAcNeuAcAc (ST)
HexNAc2Hex2NeuAcNeuAcAc2 (ST)
HexNAc2Hex2NeuAcNeuAcAc3 (ST)
HexNAc2Hex2NeuAcNeuGc (ST)
HexNAc2Hex2NeuAc2 (ST)
HexNAc2Hex2NeuAc2NeuAcAc (ST)
HexNAc2Hex2NeuAc2NeuAcAc2 (ST)
HexNAc2Hex2NeuAc2Sulfo (ST)
HexNAc2Hex2NeuAc3 (ST)
HexNAc2Hex2NeuAc3NeuAcAc (ST)
HexNAc2Hex2NeuAc4 (ST)
HexNAc2Hex2NeuGc (ST)
HexNAc2Hex2Sulfo (ST)
HexNAc2Hex2Xyl (N)
HexNAc2Hex3 (N)
HexNAc2Hex3 (ST)
HexNAc2Hex3Fuc (N)
HexNAc2Hex3Fuc (ST)
HexNAc2Hex3FucNeuAc (ST)
HexNAc2Hex3FucNeuAc2 (ST)
HexNAc2Hex3FucXyl (N)
HexNAc2Hex3Fuc2 (N)
HexNAc2Hex3Fuc2 (ST)
HexNAc2Hex3NeuAc (ST)
HexNAc2Hex3Xyl (N)
HexNAc2Hex4 (N)
HexNAc2Hex4 (ST)
HexNAc2Hex4Fuc (N)
HexNAc2Hex4Phospho (N)
HexNAc2Hex4PhosphoFuc (N)
HexNAc2Hex4PhosphoFuc2 (N)
HexNAc2Hex5 (N)
HexNAc2Hex5 (ST)
HexNAc2Hex5Fuc (N)
HexNAc2Hex5Phospho (N)
HexNAc2Hex5PhosphoFuc (N)
HexNAc2Hex5PhosphoFuc2 (N)
HexNAc2Hex5Phospho2 (N)
HexNAc2Hex5Phospho2Fuc (N)
HexNAc2Hex5Phospho2Fuc2 (N)
HexNAc2Hex6 (N)
HexNAc2Hex6Fuc (N)
HexNAc2Hex6Phospho (N)
HexNAc2Hex6PhosphoFuc (N)
HexNAc2Hex6PhosphoFuc2 (N)
HexNAc2Hex6Phospho2 (N)
HexNAc2Hex6Phospho2Fuc (N)
HexNAc2Hex6Phospho2Fuc2 (N)
HexNAc2Hex7 (N)
HexNAc2Hex7Fuc (N)
HexNAc2Hex7Phospho (N)
HexNAc2Hex7PhosphoFuc (N)
HexNAc2Hex7PhosphoFuc2 (N)
HexNAc2Hex7Phospho2 (N)
HexNAc2Hex7Phospho2Fuc (N)
HexNAc2Hex7Phospho2Fuc2 (N)
HexNAc2Hex8 (N)
HexNAc2Hex8Phospho (N)
HexNAc2Hex8PhosphoFuc (N)
HexNAc2Hex8PhosphoFuc2 (N)
HexNAc2Hex8Phospho2 (N)
