TAXONOMY
All entries
. . Archaea (Archaeobacteria)
. . Eukaryota (eucaryotes)
. . . . Alveolata (alveolates)
. . . . . . Plasmodium falciparum (malaria parasite)
. . . . . . Other Alveolata
. . . . Metazoa (Animals)
. . . . . . Caenorhabditis elegans
. . . . . . Drosophila (fruit flies)
. . . . . . Chordata (vertebrates and relatives)
. . . . . . . . bony vertebrates
. . . . . . . . . . lobe-finned fish and tetrapod clade
. . . . . . . . . . . . Mammalia (mammals)
. . . . . . . . . . . . . . Primates
. . . . . . . . . . . . . . . . Homo sapiens (human)
. . . . . . . . . . . . . . . . Other primates
. . . . . . . . . . . . . . Rodentia (Rodents)
. . . . . . . . . . . . . . . . Mus.
. . . . . . . . . . . . . . . . . . Mus musculus (house mouse)
. . . . . . . . . . . . . . . . Rattus
. . . . . . . . . . . . . . . . Other rodentia
. . . . . . . . . . . . . . Other mammalia
. . . . . . . . . . . . Xenopus laevis (African clawed frog)
. . . . . . . . . . . . Other lobe-finned fish and tetrapod clade
. . . . . . . . . . Actinopterygii (ray-finned fishes)
. . . . . . . . . . . . Takifugu rubripes (Japanese Pufferfish)
. . . . . . . . . . . . Danio rerio (zebra fish)
. . . . . . . . . . . . Other Actinopterygii
. . . . . . . . Other Chordata
. . . . . . Other Metazoa
. . . . Dictyostelium discoideum
. . . . Fungi
. . . . . . Saccharomyces Cerevisiae (baker's yeast)
. . . . . . Schizosaccharomyces pombe (fission yeast)
. . . . . . Pneumocystis carinii
. . . . . . Other Fungi
. . . . Viridiplantae (Green Plants)
. . . . . . Arabidopsis thaliana (thale cress)
. . . . . . Oryza sativa (rice)
. . . . . . Other green plants
. . . . Other Eukaryota
. . Bacteria (Eubacteria)
. . . . Actinobacteria (class)
. . . . . . Mycobacterium tuberculosis complex
. . . . . . Other Actinobacteria (class)
. . . . Firmicutes (gram-positive bacteria)
. . . . . . Bacillus subtilis
. . . . . . Mycoplasma
. . . . . . Streptococcus Pneumoniae
. . . . . . Streptomyces coelicolor
. . . . . . Other Firmicutes
. . . . Proteobacteria (purple bacteria)
. . . . . . Agrobacterium tumefaciens
. . . . . . Campylobacter jejuni
. . . . . . Escherichia coli
. . . . . . Neisseria meningitidis
. . . . . . Salmonella
. . . . . . Other Proteobacteria
. . . . Other Bacteria
. . Viruses
. . . . Hepatitis C virus
. . . . Other viruses
. . Other (includes plasmids and artificial sequences)
. . unclassified
. . Species information unavailable
