DATABASES
User Protein
NCBInr.2013.6.17
NCBInr.2013.6.17.random
NCBInr.2013.6.17.random.concat
NCBInr.refseq.2009.09.14
NCBInr.refseq.2009.09.14.random
NCBInr.refseq.2009.09.14.random.concat
NCBInr.refseq.2009.09.14.random.sub
NCBInr.refseq.2009.09.14.sub
nextprot_all
nextprot_all.random
nextprot_all.random.concat
Pdefault.TAIR10_pep_20101214_updated
Pdefault.TAIR10_pep_20101214_updated.random
Pdefault.TAIR10_pep_20101214_updated.random.concat
Refseq.2024.11.08.vertebrate_mammalian
Refseq.2024.11.08.vertebrate_mammalian.random
Refseq.2024.11.08.vertebrate_mammalian.random.concat
SwissProt.2016.9.6
SwissProt.2016.9.6.random
SwissProt.2016.9.6.random.concat
SwissProt.2017.11.01
SwissProt.2017.11.01.random
SwissProt.2017.11.01.random.concat
SwissProt.2020.09.02
SwissProt.2020.09.02.random
SwissProt.2020.09.02.random.concat
SwissProt.2021.06.18
SwissProt.2021.06.18.random
SwissProt.2021.06.18.random.concat
SwissProt.2025.02.26
SwissProt.2025.02.26.random
SwissProt.2025.02.26.random.concat
SwissProt.Human.2024.02.02
SwissProt.Human.2024.02.02.random
SwissProt.Human.2024.02.02.random.concat
UniProtKB.2017.11.01
UniProtKB.2017.11.01.random
UniProtKB.2017.11.01.random.concat
UniProtKB.2020.09.02
UniProtKB.2020.09.02.random
UniProtKB.2020.09.02.random.concat
