TYPICAL_VARIABLE_MODIFICATIONS
Fungi_EST
Human_EST
Invertebrates_EST
Mammals_EST
Mus_EST
Plants_EST
Prokaryotes_EST
Rodents_EST
Vertebrates_EST
contaminants
cRAP
SwissProt
UP186698_X_laevis
UP19116_T_aestivum
UP1940_C_elegans
UP2195_D_discoideum
UP219602_F_oxysporum
UP2311_S_cerevisiae
UP241690_T_harzianum
UP2485_S_pombe
UP2494_R_norvegicus
UP254291_M_gilvum
UP279841_T_thermophilus
UP317484_G_aquaeductus
UP437_D_rerio
UP5226_T_rubripes
UP5640_H_sapiens
UP589_M_musculus
UP59680_O_sativa
UP625_E_coli_K12
UP6548_A_thaliana
UP6906_C_reinhardtii
UP7305_Z_mays
UP803_D_melanogaster
UP808_M_pneumoniae
UP8227_S_scrofa
UP8311_R_communis
UP9136_B_taurus
