RESTRICTION_ENZYMES
Trypsin
Trypsin/P
Arg-C
Asp-N
Asp-N_ambic
Chymotrypsin
CNBr
CNBr+Trypsin
Formic_acid
Lys-C
Lys-C/P
LysC+AspN
Lys-N
PepsinA
semiTrypsin
TrypChymo
TrypsinMSIPI
TrypsinMSIPI/P
V8-DE
V8-E
