VARIABLE_MODS
HexNAcHexNeuAc2NeuAcAc (Neutral loss)
HexNAcHexNeuAc2NeuAcAc (ST)
HexNAcHexNeuAc2NeuAcAc2 (Neutral loss)
HexNAcHexNeuAc2NeuAcAc2 (ST)
HexNAcHexNeuAc3 (Neutral loss)
HexNAcHexNeuAc3 (ST)
HexNAcHexNeuAc3NeuAcAc (Neutral loss)
HexNAcHexNeuAc3NeuAcAc (ST)
HexNAcHexNeuAc3NeuAcAc2 (Neutral loss)
HexNAcHexNeuAc3NeuAcAc2 (ST)
HexNAcHexNeuAc4 (Neutral loss)
HexNAcHexNeuAc4 (ST)
HexNAcHexNeuGc (Neutral loss)
HexNAcHexNeuGc (ST)
HexNAcHexNeuGcAc2 (Neutral loss)
HexNAcHexNeuGcAc2 (ST)
HexNAcHexNeuGcNeuGcAc (Neutral loss)
HexNAcHexNeuGcNeuGcAc (ST)
HexNAcHexNeuGc2 (Neutral loss)
HexNAcHexNeuGc2 (ST)
HexNAcHexSulfo (Neutral loss)
HexNAcHexSulfo (ST)
HexNAcHexSulfo (Y)
HexNAcHex2 (Neutral loss)
HexNAcHex2 (ST)
HexNAcHex2Fuc (Neutral loss)
HexNAcHex2Fuc (ST)
HexNAcHex3 (Neutral loss)
HexNAcHex3 (ST)
HexNAcNeuAc (Neutral loss)
HexNAcNeuAc (ST)
HexNAcNeuGc (Neutral loss)
HexNAcNeuGc (ST)
HexNAc2 (N)
HexNAc2 (Neutral loss)
HexNAc2 (ST)
HexNAc2* (N)
HexNAc2Fuc (N)
HexNAc2Fuc* (N)
HexNAc2Hex (N)
HexNAc2Hex (Neutral loss)
HexNAc2Hex (ST)
HexNAc2Hex* (N)
HexNAc2HexFuc (N)
HexNAc2HexFuc (Neutral loss)
HexNAc2HexFuc (ST)
HexNAc2HexFuc* (N)
HexNAc2HexFucNeuAc (Neutral loss)
HexNAc2HexFucNeuAc (ST)
HexNAc2HexFucNeuAcAc (Neutral loss)
HexNAc2HexFucNeuAcAc (ST)
HexNAc2HexFucNeuGc (Neutral loss)
HexNAc2HexFucNeuGc (ST)
HexNAc2HexFucSulfo (Neutral loss)
HexNAc2HexFucSulfo (ST)
HexNAc2HexFuc2 (Neutral loss)
HexNAc2HexFuc2 (ST)
HexNAc2HexNeuAc (Neutral loss)
HexNAc2HexNeuAc (ST)
HexNAc2HexNeuAcAc (Neutral loss)
HexNAc2HexNeuAcAc (ST)
HexNAc2HexNeuAcNeuGc (Neutral loss)
HexNAc2HexNeuAcNeuGc (ST)
HexNAc2HexNeuAc2 (Neutral loss)
HexNAc2HexNeuAc2 (ST)
HexNAc2HexNeuGc (Neutral loss)
HexNAc2HexNeuGc (ST)
HexNAc2HexSulfo (Neutral loss)
HexNAc2HexSulfo (ST)
HexNAc2HexXyl (N)
HexNAc2HexXyl* (N)
HexNAc2Hex2 (N)
HexNAc2Hex2 (Neutral loss)
HexNAc2Hex2 (ST)
HexNAc2Hex2* (N)
HexNAc2Hex2Fuc (N)
HexNAc2Hex2Fuc (Neutral loss)
HexNAc2Hex2Fuc (ST)
HexNAc2Hex2Fuc* (N)
HexNAc2Hex2FucNeuAc (Neutral loss)
HexNAc2Hex2FucNeuAc (ST)
HexNAc2Hex2FucNeuAcAc (Neutral loss)
