INSTRUMENT
ESI-Q-TOF
ESI-Q-high-res
ESI-ION-TRAP-low-res
ESI-FT-ICR-CID
ESI-FT-ICR-ECD
ESI-ETD-low-res
ESI-ETD-high-res
ESI-EThcD-high-res
MALDI-Q-TOF
MALDI-TOFTOF
